"Wavelength nm.","T%"
698.00,24.936
699.00,24.882
700.00,24.843
701.00,24.783
702.00,24.753
703.00,24.689
704.00,24.632
705.00,24.560
706.00,24.498
707.00,24.461
708.00,24.403
709.00,24.380
710.00,24.318
711.00,24.290
712.00,24.209
713.00,24.163
714.00,24.098
715.00,24.058
716.00,24.023
717.00,23.974
718.00,23.936
719.00,23.883
720.00,23.850
721.00,23.801
722.00,23.756
723.00,23.693
724.00,23.631
725.00,23.570
726.00,23.543
727.00,23.515
728.00,23.478
729.00,23.436
730.00,23.395
731.00,23.355
732.00,23.304
733.00,23.237
734.00,23.180
735.00,23.152
736.00,23.127
737.00,23.070
738.00,23.018
739.00,22.997
740.00,23.006
741.00,22.980
742.00,22.912
743.00,22.867
744.00,22.824
745.00,22.817
746.00,22.784
747.00,22.740
748.00,22.677
749.00,22.650
750.00,22.604
751.00,22.582
752.00,22.533
753.00,22.515
754.00,22.489
755.00,22.442
756.00,22.403
757.00,22.344
758.00,22.321
759.00,22.289
760.00,22.258
761.00,22.189
762.00,22.136
763.00,22.119
764.00,22.126
765.00,22.100
766.00,22.055
767.00,22.000
768.00,21.994
769.00,21.954
770.00,21.945
771.00,21.910
772.00,21.904
773.00,21.874
774.00,21.859
775.00,21.822
776.00,21.815
777.00,21.759
778.00,21.715
779.00,21.654
780.00,21.630
781.00,21.630
782.00,21.606
783.00,21.566
784.00,21.540
785.00,21.515
786.00,21.507
787.00,21.475
788.00,21.449
789.00,21.438
790.00,21.408
791.00,21.369
792.00,21.321
793.00,21.294
794.00,21.285
795.00,21.262
796.00,21.251
797.00,21.218
798.00,21.194
799.00,21.149
800.00,21.144
801.00,21.111
802.00,21.073
803.00,21.033
804.00,21.035
805.00,21.030
806.00,21.010
807.00,20.984
808.00,20.965
809.00,20.957
810.00,20.953
811.00,20.933
812.00,20.904
813.00,20.862
814.00,20.854
815.00,20.830
816.00,20.796
817.00,20.759
818.00,20.712
819.00,20.692
820.00,20.692
821.00,20.710
822.00,20.691
823.00,20.667
824.00,20.621
825.00,20.620
826.00,20.610
827.00,20.623
828.00,20.641
829.00,20.624
830.00,20.603
831.00,20.539
832.00,20.514
833.00,20.495
834.00,20.528
835.00,20.501
836.00,20.503
837.00,20.460
838.00,20.432
839.00,20.384
840.00,20.347
841.00,20.353
842.00,20.388
843.00,20.381
844.00,20.393
845.00,20.333
846.00,20.305
847.00,20.221
848.00,20.201
849.00,20.231
850.00,20.280
851.00,20.313
852.00,20.233
853.00,20.197
854.00,20.150
855.00,20.193
856.00,20.160
857.00,20.165
858.00,20.133
859.00,20.144
860.00,20.107
861.00,20.058
862.00,20.026
863.00,20.004
864.00,20.042
865.00,20.034
866.00,20.014
867.00,19.995
868.00,19.982
869.00,19.995
870.00,19.979
871.00,19.962
872.00,19.955
873.00,19.973
874.00,19.981
875.00,19.984
876.00,19.912
877.00,19.911
878.00,19.873
879.00,19.906
880.00,19.908
881.00,19.935
882.00,19.923
883.00,19.887
884.00,19.842
885.00,19.834
886.00,19.839
887.00,19.837
888.00,19.803
889.00,19.785
890.00,19.815
891.00,19.817
892.00,19.828
893.00,19.778
894.00,19.768
895.00,19.726
896.00,19.746
897.00,19.769
898.00,19.794
899.00,19.772
900.00,19.732
901.00,19.746
902.00,19.760
903.00,19.782
904.00,19.718
905.00,19.686
906.00,19.684
907.00,19.717
908.00,19.710
909.00,19.686
910.00,19.690
911.00,19.681
912.00,19.673
913.00,19.670
914.00,19.675
915.00,19.678
916.00,19.649
917.00,19.643
918.00,19.635
919.00,19.645
920.00,19.647
921.00,19.653
922.00,19.651
923.00,19.660
924.00,19.656
925.00,19.661
926.00,19.673
927.00,19.653
928.00,19.640
929.00,19.628
930.00,19.659
931.00,19.672
932.00,19.662
933.00,19.640
934.00,19.617
935.00,19.607
936.00,19.612
937.00,19.617
938.00,19.630
939.00,19.617
940.00,19.628
941.00,19.626
942.00,19.645
943.00,19.634
944.00,19.652
945.00,19.644
946.00,19.639
947.00,19.642
948.00,19.626
949.00,19.629
950.00,19.615
951.00,19.631
952.00,19.657
953.00,19.672
954.00,19.669
955.00,19.664
956.00,19.646
957.00,19.649
958.00,19.654
959.00,19.664
960.00,19.676
961.00,19.677
962.00,19.666
963.00,19.664
964.00,19.654
965.00,19.664
966.00,19.657
967.00,19.684
968.00,19.715
969.00,19.738
970.00,19.744
971.00,19.723
972.00,19.721
973.00,19.722
974.00,19.731
975.00,19.734
976.00,19.703
977.00,19.717
978.00,19.714
979.00,19.748
980.00,19.754
981.00,19.760
982.00,19.754
983.00,19.740
984.00,19.751
985.00,19.751
986.00,19.774
987.00,19.781
988.00,19.794
989.00,19.793
990.00,19.812
991.00,19.835
992.00,19.858
993.00,19.851
994.00,19.855
995.00,19.864
996.00,19.876
997.00,19.873
998.00,19.871
999.00,19.873
1000.00,19.817
1001.00,19.746
1002.00,19.674
1003.00,19.675
1004.00,19.697
1005.00,19.719
1006.00,19.721
1007.00,19.695
1008.00,19.704
1009.00,19.700
1010.00,19.725
1011.00,19.738
