"Zinc - Water - Clear 221124 No 2 - RawData"
"Wavelength nm.","T%"
695.00,89.509
696.00,89.513
697.00,89.487
698.00,89.458
699.00,89.435
700.00,89.463
701.00,89.441
702.00,89.435
703.00,89.434
704.00,89.469
705.00,89.517
706.00,89.530
707.00,89.531
708.00,89.516
709.00,89.525
710.00,89.557
711.00,89.510
712.00,89.467
713.00,89.456
714.00,89.496
715.00,89.497
716.00,89.438
717.00,89.460
718.00,89.464
719.00,89.525
720.00,89.478
721.00,89.475
722.00,89.400
723.00,89.453
724.00,89.503
725.00,89.601
726.00,89.618
727.00,89.626
728.00,89.608
729.00,89.599
730.00,89.540
731.00,89.514
732.00,89.545
733.00,89.614
734.00,89.633
735.00,89.615
736.00,89.581
737.00,89.582
738.00,89.563
739.00,89.596
740.00,89.585
741.00,89.564
742.00,89.566
743.00,89.580
744.00,89.571
745.00,89.541
746.00,89.537
747.00,89.529
748.00,89.520
749.00,89.473
750.00,89.489
751.00,89.479
752.00,89.520
753.00,89.512
754.00,89.517
755.00,89.512
756.00,89.585
757.00,89.646
758.00,89.607
759.00,89.570
760.00,89.486
761.00,89.476
762.00,89.412
763.00,89.363
764.00,89.324
765.00,89.297
766.00,89.326
767.00,89.310
768.00,89.357
769.00,89.361
770.00,89.451
771.00,89.387
772.00,89.333
773.00,89.248
774.00,89.243
775.00,89.269
776.00,89.258
777.00,89.280
778.00,89.246
779.00,89.231
780.00,89.167
781.00,89.179
782.00,89.170
783.00,89.118
784.00,89.059
785.00,89.018
786.00,89.092
787.00,89.086
788.00,89.098
789.00,88.997
790.00,88.985
791.00,88.934
792.00,88.948
793.00,88.882
794.00,88.810
795.00,88.798
796.00,88.838
797.00,88.818
798.00,88.844
799.00,88.799
800.00,88.783
801.00,88.736
802.00,88.683
803.00,88.731
804.00,88.696
805.00,88.754
806.00,88.860
807.00,88.850
808.00,88.799
809.00,88.629
810.00,88.622
811.00,88.605
812.00,88.627
813.00,88.618
814.00,88.614
815.00,88.551
816.00,88.532
817.00,88.500
818.00,88.568
819.00,88.603
820.00,88.617
821.00,88.587
822.00,88.485
823.00,88.501
824.00,88.411
825.00,88.337
826.00,88.235
827.00,88.187
828.00,88.219
829.00,88.230
830.00,88.311
831.00,88.260
832.00,88.231
833.00,88.205
834.00,88.271
835.00,88.225
836.00,88.198
837.00,88.152
838.00,88.179
839.00,88.113
840.00,88.079
841.00,88.057
842.00,88.055
843.00,88.086
844.00,88.062
845.00,88.124
846.00,88.092
847.00,88.155
848.00,88.132
849.00,88.108
850.00,88.068
851.00,88.071
852.00,88.119
853.00,88.102
854.00,88.104
855.00,88.089
856.00,88.159
857.00,88.152
858.00,88.199
859.00,88.192
860.00,88.210
861.00,88.201
862.00,88.221
863.00,88.277
864.00,88.277
865.00,88.292
866.00,88.341
867.00,88.411
868.00,88.448
869.00,88.423
870.00,88.402
871.00,88.458
872.00,88.489
873.00,88.579
874.00,88.594
875.00,88.680
876.00,88.671
877.00,88.716
878.00,88.690
879.00,88.771
880.00,88.774
881.00,88.856
882.00,88.853
883.00,88.898
884.00,88.903
885.00,88.937
886.00,88.971
887.00,89.034
888.00,89.135
889.00,89.180
890.00,89.197
891.00,89.270
892.00,89.335
893.00,89.429
894.00,89.410
895.00,89.448
896.00,89.507
897.00,89.610
898.00,89.676
899.00,89.719
900.00,89.724
901.00,89.787
902.00,89.807
903.00,89.899
904.00,89.925
905.00,89.981
906.00,90.027
907.00,90.114
908.00,90.174
909.00,90.257
910.00,90.326
911.00,90.420
912.00,90.478
913.00,90.548
914.00,90.617
915.00,90.679
916.00,90.747
917.00,90.804
918.00,90.858
919.00,90.935
920.00,91.033
921.00,91.124
922.00,91.165
923.00,91.244
924.00,91.317
925.00,91.447
926.00,91.534
927.00,91.632
928.00,91.695
929.00,91.739
930.00,91.788
931.00,91.871
932.00,91.961
933.00,92.070
934.00,92.141
935.00,92.231
936.00,92.288
937.00,92.379
938.00,92.459
939.00,92.536
940.00,92.603
941.00,92.690
942.00,92.753
943.00,92.806
944.00,92.889
945.00,93.038
946.00,93.125
947.00,93.204
948.00,93.276
949.00,93.409
950.00,93.548
951.00,93.643
952.00,93.728
953.00,93.773
954.00,93.838
955.00,93.905
956.00,93.984
957.00,94.076
958.00,94.211
959.00,94.331
960.00,94.456
961.00,94.523
962.00,94.588
963.00,94.639
964.00,94.736
965.00,94.858
966.00,94.991
967.00,95.091
968.00,95.177
969.00,95.249
970.00,95.337
971.00,95.422
972.00,95.518
973.00,95.635
974.00,95.739
975.00,95.850
976.00,95.922
977.00,96.029
978.00,96.136
979.00,96.240
980.00,96.360
981.00,96.474
982.00,96.596
983.00,96.660
984.00,96.739
985.00,96.817
986.00,96.916
987.00,96.976
988.00,97.058
989.00,97.164
990.00,97.231
991.00,97.314
992.00,97.374
993.00,97.488
994.00,97.559
995.00,97.666
996.00,97.780
997.00,97.903
998.00,98.006
999.00,98.116
1000.00,98.768
1001.00,99.418
1002.00,100.026
1003.00,100.126
1004.00,100.230
1005.00,100.365
1006.00,100.448
1007.00,100.517
1008.00,100.594
1009.00,100.687
1010.00,100.781
1011.00,100.852
1012.00,100.923
1013.00,100.967
1014.00,101.040
1015.00,101.151
1016.00,101.286
1017.00,101.419
1018.00,101.477
1019.00,101.539
1020.00,101.612
1021.00,101.720
1022.00,101.809
1023.00,101.838
1024.00,101.889
1025.00,101.957
1026.00,102.058
1027.00,102.102
1028.00,102.158
1029.00,102.197
1030.00,102.304
1031.00,102.337
1032.00,102.393
1033.00,102.405
1034.00,102.483
1035.00,102.540
1036.00,102.629
1037.00,102.712
1038.00,102.790
1039.00,102.855
1040.00,102.911
1041.00,102.998
1042.00,103.049
1043.00,103.109
1044.00,103.149
1045.00,103.204
1046.00,103.239
1047.00,103.259
1048.00,103.291
1049.00,103.324
1050.00,103.344
1051.00,103.357
1052.00,103.398
1053.00,103.468
1054.00,103.542
1055.00,103.582
1056.00,103.600
1057.00,103.591
1058.00,103.595
1059.00,103.640
1060.00,103.687
1061.00,103.748
1062.00,103.779
1063.00,103.809
1064.00,103.820
1065.00,103.817
1066.00,103.819
1067.00,103.859
1068.00,103.884
1069.00,103.875
1070.00,103.824
1071.00,103.773
1072.00,103.794
1073.00,103.837
1074.00,103.885
1075.00,103.879
1076.00,103.863
1077.00,103.891
1078.00,103.905
1079.00,103.898
1080.00,103.888
1081.00,103.888
1082.00,103.903
1083.00,103.897
1084.00,103.903
1085.00,103.884
1086.00,103.844
1087.00,103.794
1088.00,103.792
1089.00,103.798
1090.00,103.787
1091.00,103.734
1092.00,103.690
1093.00,103.673
1094.00,103.662
1095.00,103.624
1096.00,103.553
1097.00,103.503
1098.00,103.457
1099.00,103.420
1100.00,103.380
1101.00,103.380
1102.00,103.377
1103.00,103.343
1104.00,103.287
1105.00,103.239
1106.00,103.194
1107.00,103.126
1108.00,103.034
1109.00,102.946
1110.00,102.892
1111.00,102.838
1112.00,102.815
1113.00,102.774
1114.00,102.738
1115.00,102.658
1116.00,102.596
1117.00,102.550
1118.00,102.513
1119.00,102.447
1120.00,102.365
1121.00,102.307
1122.00,102.241
1123.00,102.182
1124.00,102.056
1125.00,101.949
1126.00,101.856
1127.00,101.820
1128.00,101.758
1129.00,101.682
1130.00,101.585
1131.00,101.496
1132.00,101.439
1133.00,101.348
1134.00,101.303
1135.00,101.213
1136.00,101.152
1137.00,101.035
1138.00,100.934
1139.00,100.845
1140.00,100.743
1141.00,100.644
1142.00,100.519
1143.00,100.388
1144.00,100.296
1145.00,100.206
1146.00,100.152
1147.00,100.042
1148.00,99.951
1149.00,99.829
1150.00,99.762
1151.00,99.672
1152.00,99.609
1153.00,99.484
1154.00,99.333
1155.00,99.202
1156.00,99.106
1157.00,99.042
1158.00,98.938
1159.00,98.790
1160.00,98.680
1161.00,98.571
1162.00,98.527
1163.00,98.397
1164.00,98.278
1165.00,98.117
1166.00,97.973
1167.00,97.845
1168.00,97.704
1169.00,97.603
1170.00,97.510
1171.00,97.418
1172.00,97.293
1173.00,97.155
1174.00,96.987
1175.00,96.890
1176.00,96.788
1177.00,96.688
1178.00,96.522
1179.00,96.392
1180.00,96.269
1181.00,96.152
1182.00,95.984
1183.00,95.836
1184.00,95.665
1185.00,95.542
1186.00,95.387
1187.00,95.287
1188.00,95.144
1189.00,95.047
1190.00,94.894
1191.00,94.710
1192.00,94.553
1193.00,94.449
1194.00,94.363
1195.00,94.250
1196.00,94.105
1197.00,93.988
1198.00,93.861
1199.00,93.735
1200.00,93.566
1201.00,93.385
1202.00,93.245
1203.00,93.127
1204.00,93.007
1205.00,92.894
1206.00,92.759
1207.00,92.652
1208.00,92.516
1209.00,92.387
1210.00,92.209
1211.00,92.041
1212.00,91.897
1213.00,91.767
1214.00,91.649
1215.00,91.489
1216.00,91.360
1217.00,91.179
1218.00,91.045
1219.00,90.941
1220.00,90.848
1221.00,90.718
1222.00,90.525
1223.00,90.353
1224.00,90.208
1225.00,90.085
1226.00,89.958
1227.00,89.834
1228.00,89.694
1229.00,89.526
1230.00,89.325
1231.00,89.174
1232.00,89.076
1233.00,88.988
1234.00,88.867
1235.00,88.681
1236.00,88.554
1237.00,88.404
1238.00,88.294
1239.00,88.160
1240.00,88.035
1241.00,87.872
1242.00,87.731
1243.00,87.594
1244.00,87.484
1245.00,87.348
1246.00,87.186
1247.00,87.044
1248.00,86.901
1249.00,86.801
1250.00,86.692
1251.00,86.542
1252.00,86.404
1253.00,86.248
1254.00,86.162
1255.00,85.997
1256.00,85.873
1257.00,85.685
1258.00,85.543
1259.00,85.424
1260.00,85.287
1261.00,85.197
1262.00,85.057
1263.00,84.956
1264.00,84.808
1265.00,84.694
1266.00,84.532
1267.00,84.419
1268.00,84.256
1269.00,84.158
1270.00,84.010
1271.00,83.903
1272.00,83.732
1273.00,83.623
1274.00,83.478
1275.00,83.402
1276.00,83.280
1277.00,83.181
1278.00,83.046
1279.00,82.946
1280.00,82.831
1281.00,82.672
1282.00,82.471
1283.00,82.319
1284.00,82.237
1285.00,82.138
1286.00,81.992
1287.00,81.844
1288.00,81.746
1289.00,81.636
1290.00,81.546
1291.00,81.425
1292.00,81.339
1293.00,81.250
1294.00,81.157
1295.00,80.999
1296.00,80.835
1297.00,80.659
1298.00,80.531
1299.00,80.420
1300.00,80.348
1301.00,80.292
1302.00,80.155
1303.00,80.023
1304.00,79.896
1305.00,79.887
1306.00,79.780
1307.00,79.667
1308.00,79.488
1309.00,79.410
1310.00,79.256
1311.00,79.116
1312.00,79.014
1313.00,78.929
1314.00,78.844
1315.00,78.728
1316.00,78.631
1317.00,78.536
1318.00,78.400
1319.00,78.343
1320.00,78.253
1321.00,78.195
1322.00,78.050
1323.00,77.923
1324.00,77.795
1325.00,77.707
1326.00,77.561
1327.00,77.431
1328.00,77.329
1329.00,77.315
1330.00,77.173
1331.00,77.057
1332.00,76.899
1333.00,76.867
1334.00,76.785
1335.00,76.708
1336.00,76.607
1337.00,76.437
1338.00,76.303
1339.00,76.179
1340.00,76.130
1341.00,76.048
1342.00,75.982
1343.00,75.921
1344.00,75.836
1345.00,75.712
1346.00,75.623
1347.00,75.555
1348.00,75.503
1349.00,75.329
1350.00,75.248
1351.00,75.182
1352.00,75.172
1353.00,75.012
1354.00,74.871
1355.00,74.761
1356.00,74.681
1357.00,74.619
1358.00,74.496
1359.00,74.396
1360.00,74.327
1361.00,74.399
1362.00,74.337
1363.00,74.324
1364.00,74.185
1365.00,74.151
1366.00,73.992
1367.00,73.863
1368.00,73.786
1369.00,73.681
1370.00,73.592
1371.00,73.540
1372.00,73.483
1373.00,73.421
1374.00,73.340
1375.00,73.291
1376.00,73.137
1377.00,73.019
1378.00,72.832
1379.00,72.855
1380.00,72.687
1381.00,72.748
1382.00,72.693
1383.00,72.738
1384.00,72.636
1385.00,72.491
1386.00,72.429
1387.00,72.321
1388.00,72.384
1389.00,72.337
1390.00,72.267
1391.00,72.050
1392.00,71.875
1393.00,71.744
1394.00,71.632
1395.00,71.697
1396.00,71.764
1397.00,71.777
1398.00,71.593
1399.00,71.488
1400.00,71.472
