"Wavelength nm.","T%"
698.00,89.191
699.00,89.246
700.00,89.331
701.00,89.372
702.00,89.370
703.00,89.287
704.00,89.284
705.00,89.325
706.00,89.354
707.00,89.409
708.00,89.447
709.00,89.510
710.00,89.524
711.00,89.528
712.00,89.535
713.00,89.551
714.00,89.607
715.00,89.648
716.00,89.704
717.00,89.703
718.00,89.740
719.00,89.780
720.00,89.847
721.00,89.889
722.00,89.911
723.00,89.898
724.00,89.823
725.00,89.798
726.00,89.759
727.00,89.858
728.00,89.908
729.00,90.010
730.00,89.996
731.00,89.992
732.00,89.917
733.00,89.943
734.00,89.913
735.00,90.002
736.00,90.068
737.00,90.080
738.00,90.009
739.00,89.966
740.00,90.062
741.00,90.125
742.00,90.157
743.00,90.125
744.00,90.107
745.00,90.107
746.00,90.141
747.00,90.135
748.00,90.163
749.00,90.161
750.00,90.198
751.00,90.162
752.00,90.200
753.00,90.216
754.00,90.215
755.00,90.139
756.00,90.123
757.00,90.082
758.00,90.051
759.00,90.081
760.00,90.076
761.00,90.083
762.00,90.059
763.00,90.113
764.00,90.174
765.00,90.152
766.00,90.138
767.00,90.067
768.00,90.051
769.00,90.001
770.00,90.071
771.00,90.062
772.00,90.080
773.00,90.035
774.00,90.060
775.00,90.123
776.00,90.125
777.00,90.106
778.00,90.035
779.00,90.017
780.00,90.050
781.00,90.081
782.00,90.078
783.00,90.045
784.00,90.071
785.00,90.071
786.00,90.041
787.00,90.011
788.00,90.039
789.00,90.008
790.00,89.930
791.00,89.847
792.00,89.827
793.00,89.847
794.00,89.918
795.00,89.967
796.00,89.970
797.00,89.889
798.00,89.875
799.00,89.908
800.00,89.867
801.00,89.843
802.00,89.726
803.00,89.760
804.00,89.753
805.00,89.799
806.00,89.827
807.00,89.888
808.00,89.874
809.00,89.890
810.00,89.889
811.00,89.815
812.00,89.797
813.00,89.728
814.00,89.757
815.00,89.756
816.00,89.716
817.00,89.783
818.00,89.805
819.00,89.832
820.00,89.803
821.00,89.825
822.00,89.823
823.00,89.848
824.00,89.749
825.00,89.773
826.00,89.795
827.00,89.873
828.00,89.879
829.00,89.807
830.00,89.667
831.00,89.597
832.00,89.582
833.00,89.629
834.00,89.640
835.00,89.606
836.00,89.616
837.00,89.577
838.00,89.630
839.00,89.565
840.00,89.603
841.00,89.620
842.00,89.700
843.00,89.740
844.00,89.751
845.00,89.691
846.00,89.610
847.00,89.591
848.00,89.624
849.00,89.693
850.00,89.740
851.00,89.779
852.00,89.750
853.00,89.738
854.00,89.728
855.00,89.811
856.00,89.835
857.00,89.865
858.00,89.848
859.00,89.839
860.00,89.924
861.00,89.979
862.00,90.022
863.00,90.017
864.00,90.052
865.00,90.150
866.00,90.147
867.00,90.190
868.00,90.179
869.00,90.254
870.00,90.289
871.00,90.329
872.00,90.375
873.00,90.413
874.00,90.386
875.00,90.362
876.00,90.330
877.00,90.393
878.00,90.473
879.00,90.532
880.00,90.594
881.00,90.620
882.00,90.704
883.00,90.769
884.00,90.801
885.00,90.792
886.00,90.856
887.00,90.958
888.00,91.016
889.00,90.998
890.00,91.026
891.00,91.092
892.00,91.172
893.00,91.166
894.00,91.211
895.00,91.218
896.00,91.272
897.00,91.306
898.00,91.320
899.00,91.403
900.00,91.485
901.00,91.595
902.00,91.606
903.00,91.645
904.00,91.696
905.00,91.711
906.00,91.764
907.00,91.813
908.00,91.909
909.00,91.941
910.00,91.973
911.00,92.016
912.00,92.077
913.00,92.124
914.00,92.177
915.00,92.235
916.00,92.253
917.00,92.326
918.00,92.349
919.00,92.432
920.00,92.494
921.00,92.559
922.00,92.641
923.00,92.705
924.00,92.770
925.00,92.870
926.00,92.924
927.00,93.002
928.00,93.033
929.00,93.076
930.00,93.125
931.00,93.163
932.00,93.206
933.00,93.257
934.00,93.301
935.00,93.366
936.00,93.437
937.00,93.521
938.00,93.626
939.00,93.695
940.00,93.737
941.00,93.740
942.00,93.756
943.00,93.811
944.00,93.883
945.00,93.953
946.00,94.003
947.00,94.059
948.00,94.107
949.00,94.185
950.00,94.297
951.00,94.403
952.00,94.473
953.00,94.530
954.00,94.570
955.00,94.626
956.00,94.644
957.00,94.700
958.00,94.742
959.00,94.846
960.00,94.916
961.00,95.040
962.00,95.055
963.00,95.100
964.00,95.100
965.00,95.179
966.00,95.248
967.00,95.337
968.00,95.411
969.00,95.486
970.00,95.546
971.00,95.575
972.00,95.631
973.00,95.651
974.00,95.661
975.00,95.652
976.00,95.679
977.00,95.737
978.00,95.812
979.00,95.862
980.00,95.949
981.00,96.004
982.00,96.059
983.00,96.077
984.00,96.122
985.00,96.202
986.00,96.308
987.00,96.356
988.00,96.392
989.00,96.413
990.00,96.501
991.00,96.576
992.00,96.643
993.00,96.667
994.00,96.701
995.00,96.763
996.00,96.820
997.00,96.878
998.00,96.896
999.00,96.932
1000.00,96.527
1001.00,96.157
1002.00,95.761
1003.00,95.791
1004.00,95.847
1005.00,95.942
1006.00,96.008
1007.00,96.032
1008.00,96.057
1009.00,96.096
1010.00,96.117
1011.00,96.119
1012.00,96.110
1013.00,96.111
1014.00,96.114
1015.00,96.167
1016.00,96.215
1017.00,96.272
1018.00,96.300
1019.00,96.321
1020.00,96.314
1021.00,96.304
1022.00,96.324
1023.00,96.367
1024.00,96.369
1025.00,96.331
1026.00,96.297
1027.00,96.352
1028.00,96.431
1029.00,96.465
1030.00,96.455
1031.00,96.440
1032.00,96.471
1033.00,96.492
1034.00,96.492
1035.00,96.487
1036.00,96.501
1037.00,96.535
1038.00,96.522
1039.00,96.492
1040.00,96.451
1041.00,96.471
1042.00,96.507
1043.00,96.515
1044.00,96.476
1045.00,96.447
1046.00,96.413
1047.00,96.420
1048.00,96.404
1049.00,96.434
1050.00,96.395
1051.00,96.370
1052.00,96.313
1053.00,96.319
1054.00,96.304
1055.00,96.304
1056.00,96.274
1057.00,96.255
1058.00,96.235
1059.00,96.203
1060.00,96.174
1061.00,96.161
1062.00,96.148
1063.00,96.127
1064.00,96.049
1065.00,96.011
1066.00,95.952
1067.00,95.939
1068.00,95.876
1069.00,95.856
1070.00,95.849
1071.00,95.865
1072.00,95.836
1073.00,95.795
1074.00,95.748
1075.00,95.709
1076.00,95.618
1077.00,95.545
1078.00,95.477
1079.00,95.441
1080.00,95.383
1081.00,95.297
1082.00,95.239
1083.00,95.228
1084.00,95.234
1085.00,95.197
1086.00,95.102
1087.00,95.017
1088.00,94.977
1089.00,94.946
1090.00,94.899
1091.00,94.800
1092.00,94.714
1093.00,94.644
1094.00,94.620
1095.00,94.577
1096.00,94.566
1097.00,94.538
1098.00,94.527
1099.00,94.456
1100.00,94.349
1101.00,94.228
1102.00,94.137
1103.00,94.083
1104.00,94.038
1105.00,93.967
1106.00,93.914
1107.00,93.808
1108.00,93.749
1109.00,93.667
1110.00,93.565
1111.00,93.462
1112.00,93.318
1113.00,93.246
1114.00,93.134
1115.00,93.059
1116.00,93.020
1117.00,92.974
1118.00,92.909
1119.00,92.799
1120.00,92.723
1121.00,92.692
1122.00,92.618
1123.00,92.504
1124.00,92.371
1125.00,92.293
1126.00,92.207
1127.00,92.103
1128.00,91.993
1129.00,91.947
1130.00,91.863
1131.00,91.803
1132.00,91.711
1133.00,91.641
1134.00,91.526
1135.00,91.409
1136.00,91.312
1137.00,91.242
1138.00,91.177
1139.00,91.084
1140.00,90.974
1141.00,90.855
1142.00,90.772
1143.00,90.689
1144.00,90.589
1145.00,90.482
1146.00,90.364
1147.00,90.207
1148.00,90.076
1149.00,89.931
1150.00,89.819
1151.00,89.673
1152.00,89.573
1153.00,89.481
1154.00,89.388
1155.00,89.312
1156.00,89.224
1157.00,89.153
1158.00,89.043
1159.00,88.962
1160.00,88.854
1161.00,88.753
1162.00,88.642
1163.00,88.535
1164.00,88.397
1165.00,88.288
1166.00,88.183
1167.00,88.109
1168.00,87.968
1169.00,87.827
1170.00,87.681
1171.00,87.583
1172.00,87.479
1173.00,87.375
1174.00,87.260
1175.00,87.161
1176.00,87.079
1177.00,86.998
1178.00,86.899
1179.00,86.756
1180.00,86.593
1181.00,86.488
1182.00,86.410
1183.00,86.361
1184.00,86.255
1185.00,86.138
1186.00,86.004
1187.00,85.880
1188.00,85.771
1189.00,85.631
1190.00,85.534
1191.00,85.432
1192.00,85.372
1193.00,85.244
1194.00,85.160
1195.00,85.044
1196.00,84.939
1197.00,84.830
1198.00,84.687
1199.00,84.537
1200.00,84.395
1201.00,84.308
1202.00,84.238
1203.00,84.146
1204.00,84.054
1205.00,83.964
1206.00,83.877
1207.00,83.783
1208.00,83.649
1209.00,83.499
1210.00,83.380
1211.00,83.313
1212.00,83.219
1213.00,83.080
1214.00,82.951
1215.00,82.853
1216.00,82.785
1217.00,82.613
1218.00,82.448
1219.00,82.297
1220.00,82.241
1221.00,82.173
1222.00,82.060
1223.00,81.924
1224.00,81.811
1225.00,81.699
1226.00,81.610
1227.00,81.456
1228.00,81.366
1229.00,81.273
1230.00,81.210
1231.00,81.111
1232.00,81.000
1233.00,80.896
1234.00,80.826
1235.00,80.749
1236.00,80.653
1237.00,80.556
1238.00,80.455
1239.00,80.347
1240.00,80.214
1241.00,80.101
1242.00,80.031
1243.00,79.948
1244.00,79.839
1245.00,79.689
1246.00,79.596
1247.00,79.508
1248.00,79.477
1249.00,79.369
1250.00,79.305
1251.00,79.219
1252.00,79.161
1253.00,79.056
1254.00,78.956
1255.00,78.841
1256.00,78.741
1257.00,78.621
1258.00,78.490
1259.00,78.399
1260.00,78.295
1261.00,78.222
1262.00,78.112
1263.00,78.009
1264.00,77.933
1265.00,77.832
1266.00,77.775
1267.00,77.692
1268.00,77.602
1269.00,77.486
1270.00,77.376
1271.00,77.266
1272.00,77.146
1273.00,77.027
1274.00,76.926
1275.00,76.874
1276.00,76.809
1277.00,76.778
1278.00,76.695
1279.00,76.599
1280.00,76.520
1281.00,76.427
1282.00,76.390
1283.00,76.330
1284.00,76.279
1285.00,76.193
1286.00,76.133
1287.00,76.068
1288.00,76.014
1289.00,75.903
1290.00,75.832
1291.00,75.727
1292.00,75.640
1293.00,75.524
1294.00,75.432
1295.00,75.338
1296.00,75.261
1297.00,75.173
1298.00,75.106
1299.00,75.012
1300.00,74.923
1301.00,74.807
1302.00,74.731
1303.00,74.625
1304.00,74.559
1305.00,74.485
1306.00,74.434
1307.00,74.384
1308.00,74.336
1309.00,74.281
1310.00,74.216
1311.00,74.131
1312.00,74.081
1313.00,73.972
1314.00,73.908
1315.00,73.785
1316.00,73.729
1317.00,73.575
1318.00,73.561
1319.00,73.508
1320.00,73.500
1321.00,73.401
1322.00,73.295
1323.00,73.261
1324.00,73.214
1325.00,73.175
1326.00,73.152
1327.00,73.085
1328.00,73.039
1329.00,72.931
1330.00,72.868
1331.00,72.802
1332.00,72.680
1333.00,72.626
1334.00,72.570
1335.00,72.613
1336.00,72.551
1337.00,72.460
1338.00,72.276
1339.00,72.176
1340.00,72.099
1341.00,72.111
1342.00,72.114
1343.00,72.064
1344.00,71.990
1345.00,71.914
1346.00,71.879
1347.00,71.811
1348.00,71.749
1349.00,71.721
1350.00,71.636
1351.00,71.560
1352.00,71.471
1353.00,71.480
1354.00,71.460
1355.00,71.405
1356.00,71.309
1357.00,71.262
1358.00,71.245
1359.00,71.276
1360.00,71.147
1361.00,71.018
1362.00,70.910
1363.00,70.900
1364.00,70.862
1365.00,70.782
1366.00,70.767
1367.00,70.723
1368.00,70.710
1369.00,70.606
1370.00,70.607
1371.00,70.551
1372.00,70.570
1373.00,70.505
1374.00,70.478
1375.00,70.348
1376.00,70.255
1377.00,70.180
1378.00,70.158
1379.00,70.181
1380.00,70.158
1381.00,70.051
1382.00,70.001
1383.00,69.960
1384.00,69.961
1385.00,69.857
1386.00,69.774
1387.00,69.793
1388.00,69.786
1389.00,69.793
1390.00,69.744
1391.00,69.749
1392.00,69.722
1393.00,69.714
1394.00,69.683
1395.00,69.628
1396.00,69.530
1397.00,69.464
1398.00,69.435
1399.00,69.358
1400.00,69.267
