"AlCl3 DI Blue - RawData"
"Wavelength nm.","T%"
696.00,2.897
697.00,2.885
698.00,2.872
699.00,2.858
700.00,2.847
701.00,2.838
702.00,2.831
703.00,2.827
704.00,2.815
705.00,2.809
706.00,2.794
707.00,2.784
708.00,2.768
709.00,2.764
710.00,2.756
711.00,2.745
712.00,2.734
713.00,2.723
714.00,2.722
715.00,2.713
716.00,2.708
717.00,2.698
718.00,2.690
719.00,2.683
720.00,2.679
721.00,2.676
722.00,2.659
723.00,2.649
724.00,2.638
725.00,2.641
726.00,2.634
727.00,2.629
728.00,2.615
729.00,2.609
730.00,2.603
731.00,2.601
732.00,2.595
733.00,2.591
734.00,2.577
735.00,2.566
736.00,2.561
737.00,2.562
738.00,2.557
739.00,2.553
740.00,2.542
741.00,2.533
742.00,2.520
743.00,2.517
744.00,2.513
745.00,2.507
746.00,2.508
747.00,2.504
748.00,2.497
749.00,2.484
750.00,2.475
751.00,2.475
752.00,2.469
753.00,2.462
754.00,2.453
755.00,2.448
756.00,2.444
757.00,2.436
758.00,2.432
759.00,2.433
760.00,2.436
761.00,2.420
762.00,2.414
763.00,2.406
764.00,2.401
765.00,2.395
766.00,2.385
767.00,2.383
768.00,2.379
769.00,2.385
770.00,2.391
771.00,2.383
772.00,2.370
773.00,2.370
774.00,2.369
775.00,2.371
776.00,2.359
777.00,2.352
778.00,2.344
779.00,2.346
780.00,2.345
781.00,2.344
782.00,2.332
783.00,2.330
784.00,2.322
785.00,2.323
786.00,2.318
787.00,2.317
788.00,2.313
789.00,2.309
790.00,2.303
791.00,2.300
792.00,2.292
793.00,2.291
794.00,2.287
795.00,2.287
796.00,2.284
797.00,2.277
798.00,2.274
799.00,2.272
800.00,2.269
801.00,2.269
802.00,2.272
803.00,2.266
804.00,2.266
805.00,2.260
806.00,2.260
807.00,2.252
808.00,2.248
809.00,2.242
810.00,2.235
811.00,2.228
812.00,2.232
813.00,2.225
814.00,2.220
815.00,2.219
816.00,2.228
817.00,2.219
818.00,2.213
819.00,2.209
820.00,2.230
821.00,2.238
822.00,2.229
823.00,2.216
824.00,2.204
825.00,2.207
826.00,2.203
827.00,2.195
828.00,2.187
829.00,2.175
830.00,2.165
831.00,2.164
832.00,2.175
833.00,2.175
834.00,2.204
835.00,2.189
836.00,2.147
837.00,2.092
838.00,2.128
839.00,2.147
840.00,2.143
841.00,2.102
842.00,2.130
843.00,2.158
844.00,2.180
845.00,2.214
846.00,2.240
847.00,2.249
848.00,2.225
849.00,2.217
850.00,2.202
851.00,2.178
852.00,2.133
853.00,2.099
854.00,2.115
855.00,2.168
856.00,2.161
857.00,2.138
858.00,2.105
859.00,2.145
860.00,2.132
861.00,2.119
862.00,2.092
863.00,2.107
864.00,2.101
865.00,2.105
866.00,2.115
867.00,2.107
868.00,2.108
869.00,2.121
870.00,2.131
871.00,2.133
872.00,2.115
873.00,2.099
874.00,2.086
875.00,2.079
876.00,2.100
877.00,2.115
878.00,2.122
879.00,2.118
880.00,2.137
881.00,2.149
882.00,2.136
883.00,2.120
884.00,2.117
885.00,2.139
886.00,2.106
887.00,2.077
888.00,2.030
889.00,2.042
890.00,2.056
891.00,2.098
892.00,2.132
893.00,2.130
894.00,2.123
895.00,2.089
896.00,2.099
897.00,2.116
898.00,2.114
899.00,2.108
900.00,2.103
901.00,2.118
902.00,2.110
903.00,2.080
904.00,2.070
905.00,2.069
906.00,2.074
907.00,2.075
908.00,2.075
909.00,2.069
910.00,2.050
911.00,2.039
912.00,2.062
913.00,2.074
914.00,2.088
915.00,2.066
916.00,2.059
917.00,2.046
918.00,2.037
919.00,2.056
920.00,2.054
921.00,2.085
922.00,2.078
923.00,2.099
924.00,2.092
925.00,2.101
926.00,2.079
927.00,2.078
928.00,2.063
929.00,2.073
930.00,2.069
931.00,2.074
932.00,2.074
933.00,2.061
934.00,2.060
935.00,2.062
936.00,2.089
937.00,2.071
938.00,2.067
939.00,2.049
940.00,2.062
941.00,2.066
942.00,2.065
943.00,2.070
944.00,2.055
945.00,2.073
946.00,2.069
947.00,2.106
948.00,2.089
949.00,2.070
950.00,2.048
951.00,2.041
952.00,2.039
953.00,2.046
954.00,2.064
955.00,2.096
956.00,2.076
957.00,2.058
958.00,2.055
959.00,2.064
960.00,2.079
961.00,2.065
962.00,2.083
963.00,2.076
964.00,2.084
965.00,2.079
966.00,2.073
967.00,2.061
968.00,2.054
969.00,2.062
970.00,2.080
971.00,2.072
972.00,2.075
973.00,2.045
974.00,2.051
975.00,2.050
976.00,2.084
977.00,2.072
978.00,2.066
979.00,2.062
980.00,2.073
981.00,2.078
982.00,2.070
983.00,2.060
984.00,2.057
985.00,2.060
986.00,2.064
987.00,2.060
988.00,2.057
989.00,2.060
990.00,2.066
991.00,2.049
992.00,2.056
993.00,2.068
994.00,2.095
995.00,2.094
996.00,2.083
997.00,2.067
998.00,2.045
999.00,2.036
1000.00,2.043
1001.00,2.071
1002.00,2.083
1003.00,2.088
1004.00,2.088
1005.00,2.087
1006.00,2.069
1007.00,2.058
1008.00,2.059
1009.00,2.070
1010.00,2.077
1011.00,2.082
1012.00,2.098
1013.00,2.091
1014.00,2.084
1015.00,2.084
1016.00,2.093
1017.00,2.085
1018.00,2.057
1019.00,2.061
1020.00,2.076
1021.00,2.089
1022.00,2.089
1023.00,2.088
1024.00,2.101
1025.00,2.086
1026.00,2.097
1027.00,2.090
1028.00,2.100
1029.00,2.094
1030.00,2.096
1031.00,2.089
1032.00,2.082
1033.00,2.090
1034.00,2.106
1035.00,2.105
1036.00,2.094
1037.00,2.095
1038.00,2.104
1039.00,2.117
1040.00,2.099
1041.00,2.099
1042.00,2.093
1043.00,2.096
1044.00,2.094
1045.00,2.112
1046.00,2.113
1047.00,2.129
1048.00,2.125
1049.00,2.149
1050.00,2.128
1051.00,2.117
1052.00,2.091
1053.00,2.107
1054.00,2.103
1055.00,2.109
1056.00,2.101
1057.00,2.099
1058.00,2.111
1059.00,2.113
1060.00,2.122
1061.00,2.126
1062.00,2.137
1063.00,2.143
1064.00,2.127
1065.00,2.128
1066.00,2.122
1067.00,2.146
1068.00,2.141
1069.00,2.160
1070.00,2.158
1071.00,2.173
1072.00,2.171
1073.00,2.168
1074.00,2.164
1075.00,2.156
1076.00,2.158
1077.00,2.158
1078.00,2.151
1079.00,2.147
1080.00,2.147
1081.00,2.162
1082.00,2.154
1083.00,2.155
1084.00,2.147
1085.00,2.170
1086.00,2.189
1087.00,2.200
1088.00,2.185
1089.00,2.172
1090.00,2.163
1091.00,2.164
1092.00,2.152
1093.00,2.156
1094.00,2.175
1095.00,2.195
1096.00,2.203
1097.00,2.195
1098.00,2.182
1099.00,2.186
1100.00,2.172
1101.00,2.171
1102.00,2.160
1103.00,2.191
1104.00,2.193
1105.00,2.202
1106.00,2.191
1107.00,2.215
1108.00,2.210
1109.00,2.215
1110.00,2.205
1111.00,2.218
1112.00,2.199
1113.00,2.193
1114.00,2.191
1115.00,2.218
1116.00,2.227
1117.00,2.233
1118.00,2.224
1119.00,2.229
1120.00,2.212
1121.00,2.219
1122.00,2.234
1123.00,2.243
1124.00,2.243
1125.00,2.233
1126.00,2.254
1127.00,2.253
1128.00,2.261
1129.00,2.249
1130.00,2.269
1131.00,2.254
1132.00,2.270
1133.00,2.258
1134.00,2.255
1135.00,2.238
1136.00,2.247
1137.00,2.258
1138.00,2.271
1139.00,2.276
1140.00,2.280
1141.00,2.284
1142.00,2.290
1143.00,2.303
1144.00,2.303
1145.00,2.294
1146.00,2.286
1147.00,2.292
1148.00,2.295
1149.00,2.300
1150.00,2.302
1151.00,2.318
1152.00,2.308
1153.00,2.309
1154.00,2.309
1155.00,2.324
1156.00,2.343
1157.00,2.336
1158.00,2.332
1159.00,2.318
1160.00,2.332
1161.00,2.340
1162.00,2.327
1163.00,2.326
1164.00,2.338
1165.00,2.355
1166.00,2.333
1167.00,2.335
1168.00,2.344
1169.00,2.366
1170.00,2.357
1171.00,2.326
1172.00,2.327
1173.00,2.349
1174.00,2.382
1175.00,2.386
1176.00,2.386
1177.00,2.386
1178.00,2.397
1179.00,2.396
1180.00,2.404
1181.00,2.415
1182.00,2.405
1183.00,2.403
1184.00,2.385
1185.00,2.393
1186.00,2.387
1187.00,2.390
1188.00,2.406
1189.00,2.408
1190.00,2.399
1191.00,2.382
1192.00,2.403
1193.00,2.429
1194.00,2.453
1195.00,2.434
1196.00,2.413
1197.00,2.413
1198.00,2.411
1199.00,2.436
1200.00,2.426
1201.00,2.443
1202.00,2.463
1203.00,2.470
1204.00,2.480
1205.00,2.454
1206.00,2.431
1207.00,2.423
1208.00,2.445
1209.00,2.482
1210.00,2.495
1211.00,2.470
1212.00,2.455
1213.00,2.457
1214.00,2.472
1215.00,2.481
1216.00,2.499
1217.00,2.510
1218.00,2.550
1219.00,2.528
1220.00,2.509
1221.00,2.468
1222.00,2.462
1223.00,2.499
1224.00,2.512
1225.00,2.519
1226.00,2.495
1227.00,2.495
1228.00,2.512
1229.00,2.519
1230.00,2.549
1231.00,2.577
1232.00,2.606
1233.00,2.605
1234.00,2.581
1235.00,2.558
1236.00,2.563
1237.00,2.558
1238.00,2.553
1239.00,2.539
1240.00,2.559
1241.00,2.576
1242.00,2.580
1243.00,2.581
1244.00,2.622
1245.00,2.631
1246.00,2.642
1247.00,2.597
1248.00,2.583
1249.00,2.582
1250.00,2.609
1251.00,2.637
1252.00,2.620
1253.00,2.622
1254.00,2.619
1255.00,2.642
1256.00,2.661
1257.00,2.678
1258.00,2.665
1259.00,2.641
1260.00,2.624
1261.00,2.629
1262.00,2.643
1263.00,2.655
1264.00,2.669
1265.00,2.670
1266.00,2.669
1267.00,2.658
1268.00,2.658
1269.00,2.647
1270.00,2.679
1271.00,2.682
1272.00,2.690
1273.00,2.702
1274.00,2.706
1275.00,2.736
1276.00,2.731
1277.00,2.745
1278.00,2.737
1279.00,2.760
1280.00,2.767
1281.00,2.795
1282.00,2.760
1283.00,2.752
1284.00,2.737
1285.00,2.774
1286.00,2.790
1287.00,2.807
1288.00,2.792
1289.00,2.809
1290.00,2.827
1291.00,2.842
1292.00,2.827
1293.00,2.795
1294.00,2.796
1295.00,2.811
1296.00,2.833
1297.00,2.829
1298.00,2.823
1299.00,2.830
1300.00,2.827
1301.00,2.834
1302.00,2.811
1303.00,2.805
1304.00,2.824
1305.00,2.812
1306.00,2.808
1307.00,2.787
1308.00,2.790
1309.00,2.813
1310.00,2.851
1311.00,2.886
1312.00,2.880
1313.00,2.879
1314.00,2.881
1315.00,2.893
1316.00,2.862
1317.00,2.856
1318.00,2.852
1319.00,2.890
1320.00,2.912
1321.00,2.912
1322.00,2.889
1323.00,2.882
